siteid,latitude,longitude
274,38.04882444,23.71539848
1798,37.05360641,25.20336733
2666,37.93226365,23.75666701
5935,37.97311297,23.70767869
41462,37.97691166,23.75522961
2838,38.01315125,23.81847275
2803,38.39885754,24.0390711
851,38.03805556,23.76252778
1080,37.9786523,23.71037735
2621,37.9476532,23.64649388
3005,40.29562853,23.18274856
418,37.941656,23.68774303
3099,40.79594444,22.41525
6213,36.78174197,24.57204703
4375,39.31887207,20.90981243
1621,37.42508827,24.94684164
5833,37.99192221,23.68026869
6095,35.15883333,25.94
2676,38.04516293,23.98393558
906,38.00201474,23.73400855
450,38.06433477,23.78282285
838,37.98593167,23.76343875
924,37.95697222,23.62583333
4364,39.7586135,20.68970393
2275,38.74518777,21.87621559
5672,37.90861256,22.7852041
645,38.0085,23.84013889
6354,39.3491631,26.26971896
6001,37.45662531,24.92603067
5625,36.76394767,22.33463227
564,37.99333688,23.73150934
3311,40.9172137,22.78219448
4519,39.63245981,22.39726123
5418,37.7930769,21.90445287
4015,39.83041462,20.92637801
1749,36.44425,28.22411111
208,38.14356842,23.35555036
546,37.98581958,23.72970822
4468,38.16982044,22.26131228
2713,38.3595632,21.65705682
3028,35.87702395,23.29611728
4113,39.69202896,22.72860774
2510,38.97068413,22.38996388
1184,40.66377778,22.71263889
3224,40.25018331,21.306458
2190,38.59421034,21.9245384
1065,40.58991946,23.03267242
5987,37.00372259,21.94120707
3516,40.85938449,24.09026929
3634,40.23922711,21.59431686
6267,39.10897964,23.69230254
2807,37.92662693,23.72697109
5472,37.78615971,20.89738854
5038,37.95619173,22.80103547
6008,36.45030556,28.2225
6231,39.84597451,25.29988863
5712,37.30001931,23.19046308
5586,38.22569835,21.74261632
5079,37.41739817,23.34559431
41456,38.07564876,23.17322176
34,37.95403024,23.66956366
378,38.02201826,23.71015063
1111,40.62066869,22.96222906
2616,37.91765051,23.7023381
2526,38.61183051,21.416997
4147,40.04831412,20.75201701
6309,35.3808641,24.71799792
2916,38.00743581,23.70991277
4198,39.45894891,20.38693235
4156,39.93018427,20.37617544
153,37.96126927,23.71025488
5663,37.45410789,22.72835543
41105,36.67625446,24.52010525
5274,36.85047472,22.39164116
1082,40.65434986,22.941647
3338,40.53708818,22.17850114
325,38.02056393,23.82816971
4240,40.02860201,20.43196122
2314,38.62207204,21.4189829
2416,38.37028814,22.36551031
4745,39.46154288,21.84658993
